fish_caught,hours
0,21.124
0,5.732
0,1.323
0,0.548
1,1.695
0,0.493
0,0.033
0,0.004
0,0.217
1,4.031
0,0.145
0,0.084
1,4.91
2,2.292
0,16.787
1,8.657
0,0.046
0,0.142
1,0.83
0,0.888
1,1.002
5,6.638
0,0.745
3,6.902
30,4.269
0,16.734
13,5.241
0,0.345
0,1.084
0,0.008
0,2.514
0,0.515
11,33.394
5,1.193
0,2.164
1,5.242
1,0.526
7,3.471
0,0.103
14,0.229
0,20.501
32,10.545
0,0.046
1,14.528
0,0.07
0,8.441
0,1.355
1,4.726
5,1.872
0,0.128
1,1.329
0,0.493
22,4.552
0,8.001
15,13.864
0,65.34
0,8.353
0,3.863
5,3.53
4,5.099
2,2.955
0,8.127
2,0.929
32,12.781
0,0.015
0,4.957
1,3.04
0,0.063
0,7.475
0,0.277
7,9.667
0,0.007
0,0.067
0,0.04
0,2.493
0,0.65
0,0.043
0,26.244
0,0.788
2,4.031
3,0.664
1,0.726
5,14.212
0,1.279
2,5.578
1,0.578
0,0.078
1,9.611
149,35.592
0,0.063
1,0.677
0,1.093
0,2.643
1,1.024
0,0.177
0,0.223
0,0.013
2,0.486
2,19.356
29,2.364
3,7.851
0,9.643
0,0.126
5,0.895
0,0.712
0,0.069
0,2.044
0,0.146
0,0.145
1,3.901
7,24.001
1,8.369
0,0.159
2,2.081
0,0.113
2,3.647
0,0.777
0,0.464
0,0.428
1,0.389
0,0.198
0,12.361
0,0.06
0,1.792
0,0.052
3,0.476
4,9.633
3,31.459
3,3.659
8,71.036
2,21.298
1,7.736
6,12.389
0,0.138
0,3.56
5,2.281
3,1.032
31,2.017
0,0.851
2,10.432
0,0.011
0,0.151
0,1.404
0,0.216
0,3.691
0,0.522
6,35.413
9,14.755
0,0.127
0,1.152
0,7.955
0,0.62
0,1.165
2,0.614
15,1.46
1,5.072
2,7.504
3,0.912
0,9.75
65,3.905
5,4.385
0,1.203
0,0.039
0,0.204
0,0.043
1,9.432
8,0.925
0,12.136
0,0.101
0,0.019
2,13.549
4,4.652
5,6.215
9,11.008
0,0.055
0,24.031
0,5.817
0,3.245
21,11.812
0,1.415
6,10.054
0,0.434
0,18.943
0,0.668
0,0.208
16,2.586
0,0.031
0,0.179
4,32.206
2,1.82
10,13.179
0,5.104
0,6.946
0,1.157
2,19.554
1,3.624
3,2.723
0,0.362
0,0.092
21,3.658
0,0.125
0,9.964
2,9.075
0,4.811
3,0.42
0,0.315
38,3.285
0,0.01
0,11.767
0,1.293
1,18.708
3,35.388
0,4.083
1,9.216
0,0.009
0,0.324
0,0.041
0,0.067
5,1.775
0,0.113
0,0.275
2,1.005
0,4.349
0,2.606
0,0.515
1,17.493
4,20.896
0,1.843
0,0.095
2,3.955
3,8.508
0,0.064
0,0.168
0,2.724
0,0.643
1,25.568
2,2.583
0,2.14
6,8.663
4,2.529
1,35.574
1,0.268
0,2.88
1,0.48
0,3.727
0,10.219
0,0.004
0,1.969
0,0.075
0,0.233
